2019-05-29 11:23:44.5811 | INFO | AspNetApp.MvcApplication | Application started
2019-05-29 11:23:45.0828 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-29 11:25:09.0113 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-05-29 11:25:09.0113 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-05-29 11:25:09.4401 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-05-29 11:32:05.1510 | INFO | AspNetApp.MvcApplication | Application started
2019-05-29 11:32:05.5908 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-29 11:32:11.7384 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-05-29 11:32:11.7384 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-05-29 11:32:12.1683 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-05-29 11:32:19.2758 | INFO | AspNetApp.MvcApplication | Application Error
2019-05-29 11:41:59.8608 | INFO | AspNetApp.MvcApplication | Application started
2019-05-29 11:42:00.3315 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-29 11:42:05.6344 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-05-29 11:42:05.6344 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-05-29 11:42:06.0793 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-05-29 11:42:50.5150 | INFO | AspNetApp.MvcApplication | Application started
2019-05-29 11:42:50.9519 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-29 11:42:55.3653 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-05-29 11:42:55.3653 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-05-29 11:42:55.7908 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-05-29 11:44:02.4339 | INFO | AspNetApp.MvcApplication | Application started
2019-05-29 11:44:02.8578 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-29 11:44:10.1396 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-05-29 11:44:10.1396 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-05-29 11:44:10.5736 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-05-29 11:49:18.0773 | INFO | AspNetApp.MvcApplication | Application started
2019-05-29 11:49:18.5869 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-29 11:49:22.8958 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-05-29 11:49:22.8958 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-05-29 11:49:23.3755 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-05-29 11:49:29.4172 | INFO | AspNetApp.MvcApplication | Application Error
2019-05-29 16:35:03.4906 | INFO | AspNetApp.MvcApplication | Application started
2019-05-29 16:35:03.8835 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-29 16:35:08.7160 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-05-29 16:35:08.7160 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-05-29 16:35:09.1554 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-05-29 16:39:30.6130 | INFO | AspNetApp.MvcApplication | Application started
2019-05-29 16:39:30.9967 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-29 16:39:36.2276 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-05-29 16:39:36.2276 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-05-29 16:39:36.6605 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-05-29 16:40:30.8305 | INFO | AspNetApp.MvcApplication | Application started
2019-05-29 16:40:31.2184 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-29 16:40:35.2904 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-05-29 16:40:35.2904 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-05-29 16:40:35.7831 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-05-29 16:43:16.4653 | INFO | AspNetApp.MvcApplication | Application started
2019-05-29 16:43:16.8722 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-29 16:43:26.0640 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-05-29 16:43:26.0690 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-05-29 16:43:26.4750 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-05-29 16:44:15.5904 | INFO | AspNetApp.MvcApplication | Application started
2019-05-29 16:44:16.0302 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-29 16:44:27.7765 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-05-29 16:44:27.7765 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-05-29 16:44:28.2073 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-05-29 16:45:01.0188 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-29 16:45:05.1431 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-05-29 16:45:05.1431 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-05-29 16:45:05.1431 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-05-29 16:56:32.9873 | INFO | AspNetApp.MvcApplication | Application started
2019-05-29 16:56:34.6150 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-29 16:56:41.5669 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-05-29 16:56:41.5669 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-05-29 16:56:41.9493 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-05-29 16:56:50.7944 | INFO | AspNetApp.MvcApplication | Application Error
2019-05-29 17:04:12.5813 | INFO | AspNetApp.MvcApplication | Application started
2019-05-29 17:04:14.1461 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-29 17:05:16.4967 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-05-29 17:05:16.4967 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-05-29 17:05:16.9734 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-05-29 17:08:28.5523 | INFO | AspNetApp.MvcApplication | Application started
2019-05-29 17:08:29.0041 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-29 17:08:33.6556 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-05-29 17:08:33.6556 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-05-29 17:08:34.0682 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-05-29 17:58:31.2014 | INFO | AspNetApp.MvcApplication | Application started
2019-05-29 17:58:32.5474 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-29 17:58:45.5104 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-05-29 17:58:45.5104 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-05-29 17:58:45.9402 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-05-29 18:17:45.0672 | INFO | AspNetApp.MvcApplication | Application started
2019-05-29 18:17:45.5728 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-29 18:18:29.1734 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-05-29 18:18:29.1764 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-05-29 18:18:29.6162 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-05-29 18:28:36.4252 | INFO | AspNetApp.MvcApplication | Application started
2019-05-29 18:28:36.8500 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-29 18:28:41.4144 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-05-29 18:28:41.4144 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-05-29 18:28:41.9061 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-05-29 18:31:56.4671 | INFO | AspNetApp.MvcApplication | Application started
2019-05-29 18:31:56.9179 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-29 18:32:01.9958 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-05-29 18:32:01.9958 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-05-29 18:32:02.4326 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-05-29 18:32:49.5021 | INFO | AspNetApp.MvcApplication | Application started
2019-05-29 18:32:49.9189 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-29 18:32:54.2244 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-05-29 18:32:54.2244 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-05-29 18:32:54.7022 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-05-29 18:33:29.0793 | INFO | AspNetApp.MvcApplication | Application started
2019-05-29 18:33:29.4882 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-29 18:33:34.8894 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-05-29 18:33:34.8894 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-05-29 18:33:35.3300 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-05-29 18:34:45.4720 | INFO | AspNetApp.MvcApplication | Application started
2019-05-29 18:34:45.9657 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-29 18:34:50.2309 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-05-29 18:34:50.2309 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-05-29 18:34:50.6884 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-05-29 18:36:13.7956 | INFO | AspNetApp.MvcApplication | Application started
2019-05-29 18:36:14.2384 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-29 18:36:19.0479 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-05-29 18:36:19.0499 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-05-29 18:36:19.4717 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
2019-05-29 18:38:15.7008 | INFO | AspNetApp.MvcApplication | Application started
2019-05-29 18:38:16.1426 | INFO | AspNetApp.Controllers.HomeController | App started
2019-05-29 18:38:20.5363 | INFO | AspNetApp.Db.MongoDbProvider | Mongo client created. Connection string is mongodb://localhost:27017
2019-05-29 18:38:20.5363 | INFO | AspNetApp.Db.MongoDbProvider | Client MongoDB.Driver.MongoClient requested DB with name 'effectivedb'
2019-05-29 18:38:21.0102 | INFO | AspNetApp.Db.MongoDbProvider | Successfull request for DB 'effectivedb'
